ED_CODE,ED_NAME,ATKINSON,FOX,GERMAIN,MANOUSSI,MCGRUER,MCNEELY,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
063,OTTAWA--ORLÉANS,3,40,12,5,1,38,"Ottawa",202, ,2,0,0,101,242,"Gloucester High School",20071010
063,OTTAWA--ORLÉANS,13,57,10,12,1,112,"Ottawa",400, ,0,1,0,206,277,"Hillsview Place",20071010
063,OTTAWA--ORLÉANS,3,58,18,6,0,102,"Ottawa",402, ,2,0,0,189,410,"Sutton Place",20071010
063,OTTAWA--ORLÉANS,1,40,21,6,2,98,"Ottawa",403, ,1,0,0,169,382,"Sutton Place",20071010
063,OTTAWA--ORLÉANS,2,29,16,9,0,46,"Ottawa",404, ,0,0,0,102,216,"Innes Park Complex Building B",20071010
063,OTTAWA--ORLÉANS,1,36,15,6,0,38,"Ottawa",405, ,0,1,0,97,200,"Innes Park Complex Building A",20071010
063,OTTAWA--ORLÉANS,32,1001,130,98,16,1285,"Ottawa",Advanced Polls /  ADV001, ,3,3,0,2568,0,"Returning Office / Bureau du directeur du scrutin",20071010
063,OTTAWA--ORLÉANS,6,263,26,13,3,520,"Ottawa",Advanced Polls /  ADV002, ,0,0,2,833,0,"Église Ste-Marie d'Orléans",20071010
063,OTTAWA--ORLÉANS,14,478,49,36,1,525,"Ottawa",Advanced Polls /  ADV003, ,0,0,2,1105,0,"Orleans United Church",20071010
063,OTTAWA--ORLÉANS,0,33,5,1,0,116,"Ottawa",Advanced Polls /  ADV004, ,0,0,0,155,0,"Rendez-vous des aînés",20071010
063,OTTAWA--ORLÉANS,5,229,31,16,2,254,"Ottawa",Advanced Polls /  ADV005, ,1,0,0,538,0,"Pineview Golf Course",20071010
TOTALS:, ,692,16695,3088,2214,183,25649, , , , , , , , , , 
