ED_CODE,ED_NAME,HALL,MILLER,RHODES,RICHTER,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
069,PARRY SOUND--MUSKOKA,11,59,46,24,"Gravenhurst",209, ,1,0,0,141,353,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,21,81,90,20,"Gravenhurst",210, ,0,0,0,212,388,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,20,65,67,24,"Gravenhurst",211, ,0,0,0,176,339,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,21,85,59,15,"Gravenhurst",212, ,0,1,0,181,319,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,15,39,28,7,"Gravenhurst",213, ,0,0,0,89,249,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,14,35,31,12,"Gravenhurst",214, ,0,0,0,92,260,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,17,25,36,20,"Gravenhurst",215, ,1,0,0,99,256,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,13,51,29,11,"Gravenhurst",216, ,2,0,0,106,258,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,5,15,18,1,"Gravenhurst",217s, ,1,0,0,40,52,"Gravenhurst Manor",20071010
069,PARRY SOUND--MUSKOKA,12,36,18,3,"Gravenhurst",218, ,1,0,0,70,253,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,25,26,20,5,"Gravenhurst",219, ,0,0,0,76,274,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,10,23,36,11,"Gravenhurst",220, ,0,0,0,80,235,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,30,69,51,24,"Gravenhurst",221, ,0,0,0,174,355,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,6,19,16,2,"Gravenhurst",222s, ,3,0,0,46,185,"Leisureworld Caregiving Centre",20071010
069,PARRY SOUND--MUSKOKA,21,38,31,11,"Gravenhurst",223, ,0,0,0,101,305,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,31,40,48,13,"Gravenhurst",224, ,0,0,0,132,281,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,5,85,65,10,"Gravenhurst",225, ,0,0,0,165,304,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,30,53,75,20,"Gravenhurst",226, ,0,0,0,178,344,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,22,73,53,20,"Gravenhurst",227, ,0,0,0,168,410,"Gravenhurst Centennial Centre",20071010
069,PARRY SOUND--MUSKOKA,14,63,59,10,"Port Severn",228, ,0,0,0,146,320,"Baxter Community Centre",20071010
069,PARRY SOUND--MUSKOKA,18,78,56,19,"Gravenhurst",229, ,1,1,0,173,446,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,18,68,39,22,"Gravenhurst",230, ,0,0,0,147,332,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,35,79,30,28,"Gravenhurst",231, ,0,0,0,172,336,"Ryde Community Centre",20071010
069,PARRY SOUND--MUSKOKA,7,54,58,6,"Port Severn",232, ,0,0,0,125,308,"Baxter Community Centre",20071010
069,PARRY SOUND--MUSKOKA,16,100,44,5,"Port Severn",233, ,0,0,0,165,289,"Baxter Community Centre",20071010
069,PARRY SOUND--MUSKOKA,14,77,63,20,"Severn Bridge",234, ,0,0,0,174,368,"Severn Bridge Community Hall",20071010
069,PARRY SOUND--MUSKOKA,29,69,37,19,"Severn Bridge",235A, ,0,0,0,154,308,"Severn Bridge Community Hall",20071010
069,PARRY SOUND--MUSKOKA,18,45,23,12,"Severn Bridge",235B, ,0,0,0,98,254,"Severn Bridge Community Hall",20071010
069,PARRY SOUND--MUSKOKA,80,459,286,97,"Parry Sound",Advanced Polls /  ADV001, ,5,0,0,927,0,"Returning Office / Bureau du directeur du scrutin",20071010
069,PARRY SOUND--MUSKOKA,175,793,446,185,"Huntsville",Advanced Polls /  ADV002, ,3,2,0,1604,0,"Huntsville Place Mall",20071010
069,PARRY SOUND--MUSKOKA,142,823,344,171,"Bracebridge",Advanced Polls /  ADV003, ,1,2,2,1485,0,"Bracebridge Arena",20071010
069,PARRY SOUND--MUSKOKA,8,39,28,0,"Britt",Advanced Polls /  ADV004, ,0,0,1,76,0,"Britt Royal Canadian Legion Branch 591",20071010
069,PARRY SOUND--MUSKOKA,87,491,299,71,"Gravenhurst",Advanced Polls /  ADV005, ,3,1,1,953,0,"Gravenhurst Royal Canadian Legion Branch 302",20071010
069,PARRY SOUND--MUSKOKA,66,207,104,35,"Burks Falls",Advanced Polls /  ADV006, ,1,0,0,413,0,"Burk's Falls Young at Heart Senior Citizens' Club",20071010
069,PARRY SOUND--MUSKOKA,57,192,74,33,"South River",Advanced Polls /  ADV007, ,0,1,0,357,0,"Chalmers United Church Hall",20071010
069,PARRY SOUND--MUSKOKA,47,284,139,60,"Parry Sound",Advanced Polls /  ADV008, ,2,1,0,533,0,"Parry Sound Royal Canadian Legion Branch 117",20071010
069,PARRY SOUND--MUSKOKA,12,111,69,11,"Mactier",Advanced Polls /  ADV009, ,1,0,0,204,0,"St. James the Great Parish Hall",20071010
TOTALS:, ,5015,17348,9819,4557, , , , , , , , , , 
