ED_CODE,ED_NAME,DINOVO,HEARNS,HUN,HUTCHEON,KIDD,WATSON,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
068,PARKDALE--HIGH PARK,27,15,1,20,0,32,"Toronto",420, ,0,0,0,95,207,"Keele Community Recreation Centre",20071010
068,PARKDALE--HIGH PARK,98,23,3,29,6,49,"Toronto",421, ,2,1,0,211,377,"40 High Park Avenue",20071010
068,PARKDALE--HIGH PARK,72,34,2,24,3,69,"Toronto",422, ,0,0,0,204,317,"65 High Park Avenue",20071010
068,PARKDALE--HIGH PARK,63,13,1,29,0,30,"Toronto",423, ,1,0,0,137,230,"35 High Park Avenue",20071010
068,PARKDALE--HIGH PARK,54,9,2,24,1,43,"Toronto",424, ,0,0,2,135,254,"66 Pacific Avenue",20071010
068,PARKDALE--HIGH PARK,66,12,1,29,1,38,"Toronto",425, ,1,0,0,148,243,"High Park Garden Apartments",20071010
068,PARKDALE--HIGH PARK,33,7,2,31,3,45,"Toronto",426, ,4,1,2,128,244,"Grenadier Retirement Residence",20071010
068,PARKDALE--HIGH PARK,..........................NO POLL HELD........................,,,,,,"Toronto",427, ,0,0,0,0,0,"",20071010
068,PARKDALE--HIGH PARK,..........................NO POLL HELD........................,,,,,,"Toronto",428, ,0,0,0,0,0,"",20071010
068,PARKDALE--HIGH PARK,59,3,0,7,1,62,"Toronto",429, ,0,0,0,132,285,"Parkdale Community Centre",20071010
068,PARKDALE--HIGH PARK,49,4,3,8,0,82,"Toronto",430, ,1,1,0,148,354,"Parkdale Community Centre",20071010
068,PARKDALE--HIGH PARK,78,6,6,13,2,118,"Toronto",431, ,5,6,0,234,372,"May Robinson Apartments",20071010
068,PARKDALE--HIGH PARK,..........................NO POLL HELD........................,,,,,,"Toronto",432, ,0,0,0,0,0,"",20071010
068,PARKDALE--HIGH PARK,54,13,3,42,1,45,"Toronto",433, ,0,0,0,158,237,"65 Southport Street",20071010
068,PARKDALE--HIGH PARK,21,1,4,13,3,92,"Toronto",434, ,2,4,0,140,192,"Copernicus Lodge",20071010
068,PARKDALE--HIGH PARK,78,16,3,11,2,78,"Toronto",435, ,0,0,0,188,325,"Parkside Place",20071010
068,PARKDALE--HIGH PARK,21,1,0,2,0,15,"Toronto",436, ,1,0,0,40,106,"Parkdale Collegiate Institute",20071010
068,PARKDALE--HIGH PARK,41,5,0,15,11,25,"Toronto",437, ,1,0,0,98,126,"Lugano View Apartments",20071010
068,PARKDALE--HIGH PARK,76,6,4,12,4,112,"Toronto",438, ,2,0,0,216,400,"245 Dunn Avenue",20071010
068,PARKDALE--HIGH PARK,31,0,2,15,1,24,"Toronto",439, ,0,4,0,77,141,"Cathedral Place",20071010
068,PARKDALE--HIGH PARK,31,2,0,3,0,30,"Toronto",440, ,0,1,0,67,185,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,25,4,0,4,0,26,"Toronto",441, ,0,0,0,59,136,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,11,1,1,2,0,22,"Toronto",442, ,0,0,0,37,140,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,81,13,0,30,2,60,"Toronto",443, ,1,0,0,187,294,"35 Ormskirk Avenue",20071010
068,PARKDALE--HIGH PARK,86,17,0,47,1,88,"Toronto",444, ,1,0,0,240,341,"The Southport",20071010
068,PARKDALE--HIGH PARK,42,7,0,35,2,64,"Toronto",445, ,0,0,0,150,236,"22 Southport Street",20071010
068,PARKDALE--HIGH PARK,33,10,2,20,0,34,"Toronto",446, ,0,0,0,99,153,"24 Southport Street",20071010
068,PARKDALE--HIGH PARK,64,7,2,40,2,56,"Toronto",447, ,0,0,0,171,270,"45 Southport Street",20071010
068,PARKDALE--HIGH PARK,37,13,0,32,1,30,"Toronto",448, ,0,1,0,114,181,"20 Southport Street",20071010
068,PARKDALE--HIGH PARK,11,4,2,6,1,19,"Toronto",449, ,0,0,0,43,120,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,51,20,1,52,1,64,"Toronto",450, ,0,0,0,189,220,"15 Windermere Avenue",20071010
068,PARKDALE--HIGH PARK,20,4,0,9,1,11,"Toronto",451, ,0,0,0,45,112,"Springhurst Manor",20071010
068,PARKDALE--HIGH PARK,24,2,0,4,1,11,"Toronto",452, ,1,0,0,43,137,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,24,2,1,6,0,14,"Toronto",453, ,0,1,0,48,111,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,25,0,0,3,0,16,"Toronto",454, ,0,1,0,45,79,"Parkdale United Church",20071010
068,PARKDALE--HIGH PARK,30,5,0,6,0,30,"Toronto",455, ,0,1,0,72,128,"Imperial Towers",20071010
068,PARKDALE--HIGH PARK,21,0,0,2,0,11,"Toronto",456, ,0,0,0,34,105,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,57,7,3,7,2,29,"Toronto",457, ,0,1,0,106,266,"200 Dufferin Street",20071010
068,PARKDALE--HIGH PARK,26,14,0,47,1,35,"Toronto",458, ,1,0,0,124,207,"Southampton",20071010
068,PARKDALE--HIGH PARK,20,5,0,8,0,20,"Toronto",459, ,0,0,0,53,125,"Swansea Public School",20071010
068,PARKDALE--HIGH PARK,31,3,0,1,0,40,"Toronto",460, ,0,1,0,76,166,"Springhurst Manor",20071010
068,PARKDALE--HIGH PARK,20,1,0,1,0,19,"Toronto",461, ,0,0,0,41,122,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,78,5,3,9,0,35,"Toronto",462, ,0,0,0,130,250,"Queen Victoria Public School",20071010
068,PARKDALE--HIGH PARK,31,8,0,10,0,19,"Toronto",463, ,0,1,1,70,139,"Edgewater Towers",20071010
068,PARKDALE--HIGH PARK,422,76,3,128,7,254,"Toronto",Advanced Polls /  ADV001, ,0,2,0,892,0,"Returning Office / Bureau du directeur du scrutin",20071010
068,PARKDALE--HIGH PARK,412,63,9,68,4,150,"Toronto",Advanced Polls /  ADV002, ,1,0,1,708,0,"High Park Library",20071010
068,PARKDALE--HIGH PARK,354,39,1,53,3,168,"Toronto",Advanced Polls /  ADV003, ,3,0,1,622,0,"Parkdale Library",20071010
068,PARKDALE--HIGH PARK,641,126,8,313,9,528,"Toronto",Advanced Polls /  ADV004, ,12,0,0,1637,0,"Runnymede Public Library",20071010
TOTALS:, ,18194,3938,326,6024,312,11900, , , , , , , , , , 
