ED_CODE,ED_NAME,BRYAN,FRERE,HUDAK,LOSTRACCO,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
055,NIAGARA WEST--GLANBROOK,23,24,97,83,"Fonthill",208, ,0,0,1,228,445,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,21,11,105,93,"Fonthill",209, ,0,0,0,230,391,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,28,23,95,82,"Fonthill",210, ,0,1,0,229,370,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,20,10,109,91,"Fonthill",211, ,0,0,0,230,430,"Pelham Evangelical Friends Church",20071010
055,NIAGARA WEST--GLANBROOK,25,10,85,86,"Fonthill",212, ,0,0,0,206,417,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,30,15,80,79,"Fonthill",213, ,0,0,0,204,332,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,25,10,78,73,"Fonthill",214, ,0,2,0,188,337,"A. K. Wigg Public School",20071010
055,NIAGARA WEST--GLANBROOK,32,20,80,88,"Fenwick",215, ,1,0,0,221,439,"Concordia Lutheran Church",20071010
055,NIAGARA WEST--GLANBROOK,36,11,86,90,"Fonthill",216, ,0,0,0,223,410,"Glynn A. Green Public School",20071010
055,NIAGARA WEST--GLANBROOK,39,19,59,72,"Fonthill",217, ,1,0,0,190,361,"Glynn A. Green Public School",20071010
055,NIAGARA WEST--GLANBROOK,26,22,97,75,"Fonthill",218, ,2,0,0,222,388,"Glynn A. Green Public School",20071010
055,NIAGARA WEST--GLANBROOK,20,15,75,76,"Fonthill",219, ,1,1,0,188,350,"Glynn A. Green Public School",20071010
055,NIAGARA WEST--GLANBROOK,21,8,111,33,"Caistor Centre",220, ,0,0,1,174,325,"Caistor Central School",20071010
055,NIAGARA WEST--GLANBROOK,27,12,149,51,"St. Ann's",221, ,0,2,0,241,393,"Gainsborough Central Public School",20071010
055,NIAGARA WEST--GLANBROOK,22,14,106,47,"Fenwick",222, ,0,0,0,189,338,"E.W. Farr Memorial Public School",20071010
055,NIAGARA WEST--GLANBROOK,27,14,55,36,"Fenwick",223, ,0,0,0,132,261,"E.W. Farr Memorial Public School",20071010
055,NIAGARA WEST--GLANBROOK,34,25,102,48,"Fenwick",224, ,1,0,0,210,364,"St. Ann Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,27,32,115,74,"Fenwick",225, ,0,0,0,248,416,"Pelham Centre School",20071010
055,NIAGARA WEST--GLANBROOK,14,12,81,67,"Fonthill",226, ,0,1,0,175,315,"Pelham Evangelical Friends Church",20071010
055,NIAGARA WEST--GLANBROOK,19,13,76,89,"Fonthill",227, ,0,1,0,198,386,"Pelham Evangelical Friends Church",20071010
055,NIAGARA WEST--GLANBROOK,27,19,100,70,"Fenwick",228, ,0,0,0,216,417,"Concordia Lutheran Church",20071010
055,NIAGARA WEST--GLANBROOK,6,3,8,14,"Fonthill",229s, ,1,1,0,33,116,"Woodlands of Sunset Nursing Home",20071010
055,NIAGARA WEST--GLANBROOK,40,11,64,62,"Fonthill",230, ,0,0,0,177,328,"Glynn A. Green Public School",20071010
055,NIAGARA WEST--GLANBROOK,11,14,86,32,"Caistor Centre",231, ,1,0,0,144,260,"Caistor Central School",20071010
055,NIAGARA WEST--GLANBROOK,21,11,210,48,"St. Ann's",232, ,1,0,0,291,497,"Gainsborough Central Public School",20071010
055,NIAGARA WEST--GLANBROOK,16,8,92,21,"Fenwick",233, ,0,0,0,137,278,"St. Ann Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,31,13,80,50,"Fenwick",234, ,5,1,1,181,314,"Pelham Centre School",20071010
055,NIAGARA WEST--GLANBROOK,27,10,107,28,"Fenwick",235, ,0,0,0,172,305,"St. Ann Elementary School",20071010
055,NIAGARA WEST--GLANBROOK,..........................NO POLL HELD........................,,,,"Grimsby",400, ,0,0,0,0,0,"",20071010
055,NIAGARA WEST--GLANBROOK,78,47,478,195,"Smithville",Advanced Polls /  ADV001, ,0,0,0,798,0,"Returning Office / Bureau du directeur du scrutin",20071010
055,NIAGARA WEST--GLANBROOK,107,70,600,296,"Fonthill",Advanced Polls /  ADV002, ,5,3,0,1081,0,"Pelham Fire Department Station #1",20071010
055,NIAGARA WEST--GLANBROOK,64,37,454,208,"Beamsville",Advanced Polls /  ADV003, ,0,0,0,763,0,"Lincoln Community Centre",20071010
055,NIAGARA WEST--GLANBROOK,100,95,581,381,"Grimsby",Advanced Polls /  ADV004, ,1,7,0,1165,0,"Grimsby Public Library",20071010
055,NIAGARA WEST--GLANBROOK,76,29,254,190,"Stoney Creek",Advanced Polls /  ADV005, ,1,2,0,552,0,"Valley Park Community Centre",20071010
055,NIAGARA WEST--GLANBROOK,51,25,257,144,"Binbrook",Advanced Polls /  ADV006, ,2,2,1,482,0,"Participation House",20071010
TOTALS:, ,5809,3206,24311,14290, , , , , , , , , , 
