ED_CODE,ED_NAME,COTRUPI,COUTURE,KIDD,MORIDI,YUAN,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
075,RICHMOND HILL,2,2,0,50,76,"Richmond Hill",426, ,0,1,0,131,370,"Parkway Grand",20071010
075,RICHMOND HILL,6,9,3,35,27,"Richmond Hill",427, ,1,3,0,84,171,"Gate of Bayview Glen I",20071010
075,RICHMOND HILL,11,11,0,63,37,"Richmond Hill",428, ,0,0,0,122,224,"The Premier",20071010
075,RICHMOND HILL,7,7,0,41,15,"Richmond Hill",429, ,0,0,0,70,154,"Park Glen I",20071010
075,RICHMOND HILL,10,3,1,44,33,"Richmond Hill",430, ,0,1,0,92,181,"Park Glen I",20071010
075,RICHMOND HILL,16,9,0,117,71,"Richmond Hill",431, ,0,0,3,216,417,"Bayview Place",20071010
075,RICHMOND HILL,6,4,0,33,21,"Richmond Hill",432, ,0,0,0,64,145,"Gate of Bayview Glen II",20071010
075,RICHMOND HILL,4,8,1,26,21,"Richmond Hill",433, ,0,2,0,62,72,"St. George Antiochian Orthodox Church",20071010
075,RICHMOND HILL,61,48,6,384,294,"Richmond Hill",Advanced Polls /  ADV001, ,5,3,0,801,0,"Returning Office / Bureau du directeur du scrutin",20071010
075,RICHMOND HILL,134,113,5,946,411,"Richmond Hill",Advanced Polls /  ADV002, ,5,5,0,1619,0,"Richmond Hill Central Library",20071010
075,RICHMOND HILL,28,24,5,228,164,"Richmond Hill",Advanced Polls /  ADV003, ,3,2,2,456,0,"Elgin West Community Centre",20071010
075,RICHMOND HILL,41,63,2,309,214,"Richmond Hill",Advanced Polls /  ADV004, ,4,0,1,634,0,"Richvale Community Centre",20071010
TOTALS:, ,3565,3210,318,19456,14127, , , , , , , , , , 
