ED_CODE,ED_NAME,HAMPTON,HOLIDAY,LUCAS,WOOD,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
035,KENORA--RAINY RIVER,......................COMBINED WITH POLL 227 ....................,,,,"Fort Frances",225, ,,,,,,"Halkirk Fire Hall",20071010
035,KENORA--RAINY RIVER,58,5,5,4,"Mine Centre",226, ,10,0,0,82,171,"Seine River 23A First Nation",20071010
035,KENORA--RAINY RIVER,15,1,5,7,"Mine Centre",227, ,0,0,0,28,69,"Mine Centre School",20071010
035,KENORA--RAINY RIVER,..........................NO POLL HELD........................,,,,"Fort Frances",228, ,0,0,0,0,0,"",20071010
035,KENORA--RAINY RIVER,..........................NO POLL HELD........................,,,,"Kenora",229, ,0,0,0,0,0,"",20071010
035,KENORA--RAINY RIVER,..........................NO POLL HELD........................,,,,"Kenora",400, ,0,0,0,0,0,"",20071010
035,KENORA--RAINY RIVER,402,22,182,208,"Kenora",Advanced Polls /  ADV001, ,1,4,1,820,0,"Returning Office / Bureau du directeur du scrutin",20071010
035,KENORA--RAINY RIVER,43,1,11,14,"Red Lake",Advanced Polls /  ADV002, ,0,0,0,69,0,"Cochenour Community Hall",20071010
035,KENORA--RAINY RIVER,62,6,24,33,"Ear Falls",Advanced Polls /  ADV003, ,2,0,0,127,0,"Ear Falls Municipal Office",20071010
035,KENORA--RAINY RIVER,89,2,21,12,"Rainy River",Advanced Polls /  ADV004, ,0,0,1,125,0,"Old Municipal Hall",20071010
035,KENORA--RAINY RIVER,65,5,11,16,"Ignace",Advanced Polls /  ADV005, ,0,0,0,97,0,"Ignace Public Library",20071010
035,KENORA--RAINY RIVER,161,20,56,57,"Sioux Lookout",Advanced Polls /  ADV006, ,0,1,0,295,0,"Knights of Columbus",20071010
035,KENORA--RAINY RIVER,75,1,24,7,"Emo",Advanced Polls /  ADV007, ,0,0,0,107,0,"Knox United Church",20071010
035,KENORA--RAINY RIVER,360,8,63,245,"Dryden",Advanced Polls /  ADV008, ,0,0,0,676,0,"Dryden Satellite Office / Bureau satellite",20071010
035,KENORA--RAINY RIVER,89,4,16,58,"Red Lake",Advanced Polls /  ADV009, ,0,1,0,168,0,"Red Lake Satellite Office / Bureau satellite",20071010
035,KENORA--RAINY RIVER,425,13,64,75,"Fort Frances",Advanced Polls /  ADV010, ,2,0,0,579,0,"Fort Frances Satellite Office / Bureau satellite",20071010
TOTALS:, ,14281,769,2757,5752, , , , , , , , , , 
