ED_CODE,ED_NAME,KENNY,KIDD,TORY,WALKER,WYNNE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
017,DON VALLEY WEST,12,0,35,23,115,"Toronto",463A, ,0,0,0,185,358,"Leaside Towers",20071010
017,DON VALLEY WEST,10,0,39,15,104,"Toronto",463B, ,0,0,0,168,330,"Leaside Towers",20071010
017,DON VALLEY WEST,2,0,8,4,66,"Toronto",464, ,0,0,0,80,145,"Gateway Public School",20071010
017,DON VALLEY WEST,23,0,33,7,106,"Toronto",465, ,0,3,0,172,392,"The Citadel",20071010
017,DON VALLEY WEST,23,0,34,5,148,"Toronto",466, ,2,1,0,213,500,"Gateway Public School",20071010
017,DON VALLEY WEST,27,2,65,8,172,"Toronto",467, ,2,1,0,277,553,"Linkwood Village Recreation Centre",20071010
017,DON VALLEY WEST,14,1,53,10,80,"Toronto",468, ,0,0,0,158,307,"21 Overlea Boulevard",20071010
017,DON VALLEY WEST,4,0,34,4,58,"Toronto",469, ,1,0,0,101,219,"21 Overlea Boulevard",20071010
017,DON VALLEY WEST,11,1,24,1,152,"Toronto",470, ,5,1,0,195,276,"The Overlea",20071010
017,DON VALLEY WEST,2,1,59,1,137,"Toronto",471, ,1,0,0,201,468,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,8,0,37,2,128,"Toronto",472, ,3,0,0,178,397,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,7,1,21,3,93,"Toronto",473, ,0,0,0,125,285,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,8,3,84,0,112,"Toronto",474, ,2,0,0,209,429,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,8,1,22,2,100,"Toronto",475, ,1,2,0,136,344,"Thorncliffe Park Elementary School",20071010
017,DON VALLEY WEST,7,0,49,15,94,"Toronto",476, ,0,0,0,165,323,"Leaside Memorial Gardens",20071010
017,DON VALLEY WEST,5,0,16,6,37,"Toronto",477, ,0,0,0,64,161,"The Overlea",20071010
017,DON VALLEY WEST,8,2,39,2,129,"Toronto",478, ,1,0,0,181,346,"Greek Community of Metro Toronto",20071010
017,DON VALLEY WEST,13,2,46,3,132,"Toronto",479, ,1,1,0,198,560,"Greek Community of Metro Toronto",20071010
017,DON VALLEY WEST,13,1,38,9,149,"Toronto",480, ,1,0,0,211,598,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,19,1,44,2,119,"Toronto",481, ,2,0,0,187,505,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,1,0,67,6,87,"Toronto",482, ,0,0,0,161,236,"Highgate Reception Centre",20071010
017,DON VALLEY WEST,66,2,804,75,835,"Toronto",Advanced Polls /  ADV001, ,3,3,0,1788,0,"Returning Office / Bureau du directeur du scrutin",20071010
017,DON VALLEY WEST,37,3,336,41,399,"Toronto",Advanced Polls /  ADV002, ,0,3,5,824,0,"The Sherwood",20071010
017,DON VALLEY WEST,34,1,533,64,702,"Toronto",Advanced Polls /  ADV003, ,5,1,0,1340,0,"Leaside Public Library",20071010
017,DON VALLEY WEST,18,2,59,15,427,"Toronto",Advanced Polls /  ADV004, ,6,0,1,528,0,"Dennis R. Timbrell Resource Centre",20071010
017,DON VALLEY WEST,38,2,119,13,558,"Toronto",Advanced Polls /  ADV005, ,6,1,1,738,0,"Jenner-Jean Marie Community Centre",20071010
017,DON VALLEY WEST,9,8,550,25,303,"Toronto",Advanced Polls /  ADV006, ,1,3,0,899,0,"Trinity Presbyterian Church",20071010
TOTALS:, ,2138,183,18156,2202,23080, , , , , , , , , , 
