ED_CODE,ED_NAME,ARNOTT,BENTLEY,DUIGNAN,GORI,LAVICTOIRE,PLACE_NAME,POLL_NUMBER,RURAL_INDICATOR,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION,POLL_DATE
099,WELLINGTON--HALTON HILLS,100,47,23,3,23,"Georgetown",208, ,0,1,0,197,359,"Pineview Public School",20071010
099,WELLINGTON--HALTON HILLS,99,74,7,11,9,"Georgetown",209, ,0,0,0,200,435,"Pineview Public School",20071010
099,WELLINGTON--HALTON HILLS,120,81,20,7,23,"Guelph",210, ,0,0,0,251,487,"Marden Community Centre",20071010
099,WELLINGTON--HALTON HILLS,122,56,15,4,40,"Aberfoyle",211, ,0,0,0,237,461,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,76,55,12,7,18,"Guelph",212, ,0,0,0,168,389,"Marden Community Centre",20071010
099,WELLINGTON--HALTON HILLS,2,7,8,0,4,"Eramosa",212-1s, ,0,0,0,21,39,"Stonehenge Therapeutic Community",20071010
099,WELLINGTON--HALTON HILLS,88,49,11,0,15,"Aberfoyle",213, ,0,0,0,163,402,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,109,62,26,5,30,"Aberfoyle",214, ,0,2,0,234,474,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,88,82,19,3,24,"Cambridge",215, ,0,0,0,216,389,"Clifford Evans Training Centre",20071010
099,WELLINGTON--HALTON HILLS,52,18,4,0,4,"Cambridge",216, ,0,0,0,78,314,"Clifford Evans Training Centre",20071010
099,WELLINGTON--HALTON HILLS,21,4,1,0,3,"Aberfoyle",217, ,0,0,0,29,41,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,116,75,31,0,27,"Aberfoyle",218, ,0,3,0,252,493,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,176,62,21,6,18,"Cambridge",219, ,0,0,1,284,463,"Clifford Evans Training Centre",20071010
099,WELLINGTON--HALTON HILLS,5,3,0,0,0,"Puslinch",220s, ,0,0,0,8,33,"Morriston Park Nursing Home Incorporated",20071010
099,WELLINGTON--HALTON HILLS,75,39,16,1,13,"Aberfoyle",221, ,0,0,0,144,375,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,66,34,17,2,21,"Aberfoyle",222, ,0,0,0,140,283,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,118,44,21,2,14,"Cambridge",223, ,1,0,0,200,399,"Clifford Evans Training Centre",20071010
099,WELLINGTON--HALTON HILLS,183,87,21,1,43,"Cambridge",224, ,5,1,0,341,588,"Clifford Evans Training Centre",20071010
099,WELLINGTON--HALTON HILLS,32,32,12,1,10,"Georgetown",400, ,1,0,0,88,150,"Silvercreek Towers",20071010
099,WELLINGTON--HALTON HILLS,22,21,10,0,10,"Georgetown",401, ,0,0,1,64,141,"Silvercreek Towers",20071010
099,WELLINGTON--HALTON HILLS,68,62,9,0,5,"Georgetown",402, ,0,0,2,146,198,"The Sands Apartments",20071010
099,WELLINGTON--HALTON HILLS,290,186,51,11,50,"Acton",Advanced Polls /  ADV001, ,2,1,0,591,0,"Returning Office / Bureau du directeur du scrutin",20071010
099,WELLINGTON--HALTON HILLS,188,115,38,4,15,"Georgetown",Advanced Polls /  ADV002, ,0,2,0,362,0,"Extendicare Halton Hills",20071010
099,WELLINGTON--HALTON HILLS,482,427,72,5,72,"Georgetown",Advanced Polls /  ADV003, ,1,0,0,1059,0,"Gellert Community Centre",20071010
099,WELLINGTON--HALTON HILLS,176,80,17,6,39,"Erin",Advanced Polls /  ADV004, ,0,0,0,318,0,"Centre 2000",20071010
099,WELLINGTON--HALTON HILLS,396,214,48,7,51,"Fergus",Advanced Polls /  ADV005, ,0,2,0,718,0,"Centre Wellington Community Sportsplex",20071010
099,WELLINGTON--HALTON HILLS,252,164,37,2,57,"Elora",Advanced Polls /  ADV006, ,1,0,0,513,0,"Elora Centre for the Arts",20071010
099,WELLINGTON--HALTON HILLS,114,59,13,8,13,"Guelph",Advanced Polls /  ADV007, ,0,0,1,208,0,"Marden Community Centre",20071010
099,WELLINGTON--HALTON HILLS,226,102,24,3,35,"Aberfoyle",Advanced Polls /  ADV008, ,0,0,0,390,0,"Puslinch Community Centre",20071010
099,WELLINGTON--HALTON HILLS,163,100,26,7,37,"Rockwood",Advanced Polls /  ADV009, ,0,0,0,333,0,"Wellington County Library - Rockwood",20071010
TOTALS:, ,21533,13312,3914,555,4489, , , , , , , , , , 
