"2350 Finch Avenue West ,  TORONTO ,  Ontario, Canada"
"Ina Grafton Gage Home ,  SCARBOROUGH ,  Ontario, Canada"
"Ionview Public School ,  SCARBOROUGH ,  Ontario, Canada"
"J. G. Workman Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Jack Goodlad Community Centre ,  TORONTO ,  Ontario, Canada"
"John A Leslie Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Kingsway Arms at McCowan ,  SCARBOROUGH ,  Ontario, Canada"
"Konko Church of Toronto ,  TORONTO ,  Ontario, Canada"
"Norman Cook Junior Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Oakridge Community Centre ,  TORONTO ,  Ontario, Canada"
"Oakridge Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Our Lady of Fatima Catholic School ,  SCARBOROUGH ,  Ontario, Canada"
"Providence Healthcare ,  SCARBOROUGH ,  Ontario, Canada"
"Retirement Suites By the Lake ,  SCARBOROUGH ,  Ontario, Canada"
"Robert Servce Senior Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Royal Canadian Legion Branch 13 ,  SCARBOROUGH ,  Ontario, Canada"
"Satec at Porter Collegiate ,  SCARBOROUGH ,  Ontario, Canada"
"Scarboro Missions ,  SCARBOROUGH ,  Ontario, Canada"
"St. Crispin's Anglican Church ,  TORONTO ,  Ontario, Canada"
"St. George's Manor Senior Apartment(s) ,  TORONTO ,  Ontario, Canada"
"St. Paul's United Church ,  SCARBOROUGH ,  Ontario, Canada"
"St.Maria Goretti Catholic School ,  SCARBOROUGH ,  Ontario, Canada"
"Sterling Club ,  TORONTO ,  Ontario, Canada"
"Trilogy ,  TORONTO ,  Ontario, Canada"
"Walter Perry Junior Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Walton Place ,  TORONTO ,  Ontario, Canada"
"Warden Avenue Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Warden Hilltop Community Centre ,  SCARBOROUGH ,  Ontario, Canada"
"West Scarborough Neighbourhood Community Centre ,  SCARBOROUGH ,  Ontario, Canada"
"1319 Neilson Road ,  TORONTO ,  Ontario, Canada"
"39 Kimbercroft Court ,  TORONTO ,  Ontario, Canada"
"Agnes Macphail Public School ,  TORONTO ,  Ontario, Canada"
"Alexmuir Junior Public School ,  TORONTO ,  Ontario, Canada"
"Anson S. Taylor Junior Public School ,  TORONTO ,  Ontario, Canada"
"Banting and Best Public School ,  TORONTO ,  Ontario, Canada"
"Berner Trail Junior Public School ,  TORONTO ,  Ontario, Canada"
"Blessed Mother Teresa High School ,  TORONTO ,  Ontario, Canada"
"Brookside Public School ,  TORONTO ,  Ontario, Canada"
"Burrows Hall Community Centre ,  TORONTO ,  Ontario, Canada"
"Burrows Hall Junior Public School ,  TORONTO ,  Ontario, Canada"
"Carriage House II ,  TORONTO ,  Ontario, Canada"
"Cd Farquharson Junior Public School ,  TORONTO ,  Ontario, Canada"
"Chartwell Place ,  TORONTO ,  Ontario, Canada"
"Forest Manor ,  TORONTO ,  Ontario, Canada"
"Grey Owl Junior Public School ,  TORONTO ,  Ontario, Canada"
"Gta Square Shopping Plaza ,  TORONTO ,  Ontario, Canada"
"Heritage Park Public School ,  TORONTO ,  Ontario, Canada"
"Lucy Maud Montgomery Junior & Senior Public School ,  TORONTO ,  Ontario, Canada"
"Macklin Public School ,  TORONTO ,  Ontario, Canada"
"Malvern Community and Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Malvern Methodist Church ,  TORONTO ,  Ontario, Canada"
"Mary Shadd Public School ,  TORONTO ,  Ontario, Canada"
"Mayfair Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Milliken Public School ,  TORONTO ,  Ontario, Canada"
"Nanak House ,  TORONTO ,  Ontario, Canada"
"Neilson Hall Apartments ,  TORONTO ,  Ontario, Canada"
"Optima ,  TORONTO ,  Ontario, Canada"
"Our Lady of Grace Catholic School ,  TORONTO ,  Ontario, Canada"
"Park Vista ,  TORONTO ,  Ontario, Canada"
"Percy Williams Junior Public School ,  TORONTO ,  Ontario, Canada"
"Port Royal Public School ,  TORONTO ,  Ontario, Canada"
"Ridgeford Apartments ,  TORONTO ,  Ontario, Canada"
"Riviera Club I ,  TORONTO ,  Ontario, Canada"
"Riviera Club II ,  TORONTO ,  Ontario, Canada"
"Scarborough Heights Co-Op Homes ,  TORONTO ,  Ontario, Canada"
"Scott Westney Community Centre ,  TORONTO ,  Ontario, Canada"
"St. Barnabas Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Bede Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Gabriel Lalemant Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Ignatius of Loyola Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Marguerite Bourgeoys Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Rene Goupil Catholic School ,  TORONTO ,  Ontario, Canada"
"Sts. Peter and Paul Residence ,  TORONTO ,  Ontario, Canada"
"The Ambassadors I ,  TORONTO ,  Ontario, Canada"
"The Ambassadors II ,  TORONTO ,  Ontario, Canada"
"The Ambassadors III ,  TORONTO ,  Ontario, Canada"
"The Divine Infant Catholic School ,  TORONTO ,  Ontario, Canada"
"The Gatsby ,  TORONTO ,  Ontario, Canada"
"The Platinum East ,  TORONTO ,  Ontario, Canada"
"The Windsor of Chartwell I & II ,  TORONTO ,  Ontario, Canada"
"Thomas L. Wells Public School ,  TORONTO ,  Ontario, Canada"
"Tom Longboat Junior Public School ,  TORONTO ,  Ontario, Canada"
"Wedgewood Grove ,  TORONTO ,  Ontario, Canada"
"White Haven Junior Public School ,  TORONTO ,  Ontario, Canada"
"Whitefield Christian Schools ,  TORONTO ,  Ontario, Canada"
"Yee Hong Aw Chan Kam Chee Evergrn Manor ,  TORONTO ,  Ontario, Canada"
"Yee Hong Centre for Geriatric Care - 60 ,  TORONTO ,  Ontario, Canada"
"Yee Hong Centre for Geriatric Care -2311 ,  TORONTO ,  Ontario, Canada"
"Yee Hong Garden Terrace - 100 Scottfield ,  TORONTO ,  Ontario, Canada"
"Yee Hong Garden Terrace - 90 Scottfield ,  TORONTO ,  Ontario, Canada"
"1815212 Ontario Inc ,  TORONTO ,  Ontario, Canada"
"70 Mornelle Court Apartments ,  SCARBOROUGH ,  Ontario, Canada"
"Adanac Apartments ,  TORONTO ,  Ontario, Canada"
"Ann Marie Hill Co-Op ,  TORONTO ,  Ontario, Canada"
"Bellmere Public School ,  TORONTO ,  Ontario, Canada"
"Cedar Drive Junior Public School ,  TORONTO ,  Ontario, Canada"
"Cedarbrae Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Cedarbrae Library ,  TORONTO ,  Ontario, Canada"
"Cedarbrae Manor ,  TORONTO ,  Ontario, Canada"
"Cedarbrook Community Centre ,  TORONTO ,  Ontario, Canada"
"Cedarbrook Lodge ,  TORONTO ,  Ontario, Canada"
"Cedarbrook Public School ,  TORONTO ,  Ontario, Canada"
"Church of the Holy Trinity ,  TORONTO ,  Ontario, Canada"
"Church of the Master ,  TORONTO ,  Ontario, Canada"
"Churchill Heights Public School ,  TORONTO ,  Ontario, Canada"
"Cornell Junior Public School ,  TORONTO ,  Ontario, Canada"
"Curran Hall Community Centre ,  TORONTO ,  Ontario, Canada"
"Doverhold Investments Ltd ,  TORONTO ,  Ontario, Canada"
"Eesti Kodu Inc ,  TORONTO ,  Ontario, Canada"
"Ehatare ,  TORONTO ,  Ontario, Canada"
"Elizabeth Simcoe Junior Public School ,  TORONTO ,  Ontario, Canada"
"Extendicare Guildwood ,  TORONTO ,  Ontario, Canada"
"Extendicare Scarborough ,  TORONTO ,  Ontario, Canada"
"Galloway Road Junior Public School ,  TORONTO ,  Ontario, Canada"
"Gates of Guildwood 10 ,  TORONTO ,  Ontario, Canada"
"Gates of Guildwood 20 ,  TORONTO ,  Ontario, Canada"
"George B Little Public School ,  TORONTO ,  Ontario, Canada"
"George P Mackie Junior Public School ,  TORONTO ,  Ontario, Canada"
"Golf Road Junior School ,  TORONTO ,  Ontario, Canada"
"Guildwood Community Presbyterian Church ,  TORONTO ,  Ontario, Canada"
"Guildwood Terrace MTCC1013 ,  TORONTO ,  Ontario, Canada"
"Heather Heights Junior Public School ,  TORONTO ,  Ontario, Canada"
"Henry Hudson Senior Public School ,  TORONTO ,  Ontario, Canada"
"Heron Park Community Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Highcastle Public School ,  TORONTO ,  Ontario, Canada"
"Joseph Brant Senior Public School ,  TORONTO ,  Ontario, Canada"
"Livingston Lodge Retirement Home ,  TORONTO ,  Ontario, Canada"
"Mapledale MTCC831 ,  TORONTO ,  Ontario, Canada"
"Maplewood High School ,  TORONTO ,  Ontario, Canada"
"Mason Road Junior Public School ,  TORONTO ,  Ontario, Canada"
"Melville Presbyterian Church ,  TORONTO ,  Ontario, Canada"
"Military Trail Public School ,  TORONTO ,  Ontario, Canada"
"Momiji Senior Residence ,  TORONTO ,  Ontario, Canada"
"Morningside Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Morningside Estates YCC469 ,  TORONTO ,  Ontario, Canada"
"Peter Secor Junior Public School ,  TORONTO ,  Ontario, Canada"
"Prominence Point MC978 ,  TORONTO ,  Ontario, Canada"
"Rhona Towers ,  TORONTO ,  Ontario, Canada"
"Scarborough Bluffs United Church ,  TORONTO ,  Ontario, Canada"
"Scarborough Centennial Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Scarborough Retirement Centre ,  TORONTO ,  Ontario, Canada"
"Scarborough Village Community Centre ,  TORONTO ,  Ontario, Canada"
"Scarborough Woods Apartment(s) YC475 ,  TORONTO ,  Ontario, Canada"
"Seven Oaks Home for the Aged ,  TORONTO ,  Ontario, Canada"
"Shoniker Place ,  TORONTO ,  Ontario, Canada"
"Skyview Manor YCC331 ,  TORONTO ,  Ontario, Canada"
"St. Barbara Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Boniface Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Malachy Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Margaret's-In-The-Pines ,  TORONTO ,  Ontario, Canada"
"St. Stephen's Presbyterian Church ,  TORONTO ,  Ontario, Canada"
"Tam Heather Curling and  Tennis Club ,  TORONTO ,  Ontario, Canada"
"The Village at Guildwood TSCC1806 ,  TORONTO ,  Ontario, Canada"
"Village Apartment(s) ,  TORONTO ,  Ontario, Canada"
"West Hill Apartment(s) ,  TORONTO ,  Ontario, Canada"
"West Hill Public School ,  TORONTO ,  Ontario, Canada"
"West Hill United Church ,  TORONTO ,  Ontario, Canada"
"William Tredway Junior Public School ,  SCARBOROUGH ,  Ontario, Canada"
"Woburn Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Woburn Junior Public School ,  TORONTO ,  Ontario, Canada"
"Woburn Village Co-Operative Homes ,  TORONTO ,  Ontario, Canada"
"YCC41 ,  SCARBOROUGH ,  Ontario, Canada"
"YCC456 ,  TORONTO ,  Ontario, Canada"
"11 Antrim Crescent ,  TORONTO ,  Ontario, Canada"
"15 Torrance Road  YCC325 ,  TORONTO ,  Ontario, Canada"
"20 Antrim Crescent ,  TORONTO ,  Ontario, Canada"
"30 Antrim Crescent ,  TORONTO ,  Ontario, Canada"
"360 Degrees at City Centre ,  TORONTO ,  Ontario, Canada"
"7 Glamorgan Avenue ,  TORONTO ,  Ontario, Canada"
"Aldebrain Towers Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Bellamy Tower - 126 ,  TORONTO ,  Ontario, Canada"
"Bellamy Towers - 123 ,  TORONTO ,  Ontario, Canada"
"Bendale Acres ,  TORONTO ,  Ontario, Canada"
"Bendale Business and Technical Institute ,  TORONTO ,  Ontario, Canada"
"Bendale Junior Public School ,  TORONTO ,  Ontario, Canada"
"Bendale Public Library ,  TORONTO ,  Ontario, Canada"
"Birkdale Community Centre ,  TORONTO ,  Ontario, Canada"
"Blue Danube Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Brimley Acres Senior Residence ,  TORONTO ,  Ontario, Canada"
"Centro ,  TORONTO ,  Ontario, Canada"
"Charles Gordon Senior Public School ,  TORONTO ,  Ontario, Canada"
"Church of Jesus Christ of Latter Day Saints ,  TORONTO ,  Ontario, Canada"
"Church of St. Andrew ,  TORONTO ,  Ontario, Canada"
"Consilium Club Apartment(s) MTCC1023 ,  TORONTO ,  Ontario, Canada"
"Consilium Club Apartment(s) MTCC1143 ,  TORONTO ,  Ontario, Canada"
"Dorset Park Baptist Church ,  TORONTO ,  Ontario, Canada"
"Dorset Park Junior Public School ,  TORONTO ,  Ontario, Canada"
"Edgewood Public School ,  TORONTO ,  Ontario, Canada"
"Ellesmere Community Centre ,  TORONTO ,  Ontario, Canada"
"Ellesmere Statton Public School ,  TORONTO ,  Ontario, Canada"
"Ellipse I ,  TORONTO ,  Ontario, Canada"
"Ellipse II ,  TORONTO ,  Ontario, Canada"
"Equinox I ,  TORONTO ,  Ontario, Canada"
"Equinox II ,  TORONTO ,  Ontario, Canada"
"Evangelical St Matthew's Lutheran Church ,  TORONTO ,  Ontario, Canada"
"Forest Vista ,  TORONTO ,  Ontario, Canada"
"George Peck Public School ,  TORONTO ,  Ontario, Canada"
"Glamorgan Junior Public School ,  TORONTO ,  Ontario, Canada"
"Glen Ravine Junior Public School ,  TORONTO ,  Ontario, Canada"
"Gooderham Learning Centre ,  TORONTO ,  Ontario, Canada"
"Grace Community Corporation (Salvation Army) ,  TORONTO ,  Ontario, Canada"
"Hellenic Home for the Aged ,  TORONTO ,  Ontario, Canada"
"Highbrook Campus ( Donwood Pk Public School) ,  TORONTO ,  Ontario, Canada"
"Hillsborough Court - 18 ,  TORONTO ,  Ontario, Canada"
"Hillsborough Court - 8 ,  TORONTO ,  Ontario, Canada"
"Hunter's Glen Junior Public School ,  TORONTO ,  Ontario, Canada"
"Jack Goodlad Senior Citizens Residence ,  TORONTO ,  Ontario, Canada"
"Jean Vanier Catholic Public School ,  TORONTO ,  Ontario, Canada"
"Kennedy Lodge Nursing Home ,  TORONTO ,  Ontario, Canada"
"Kennedy Place ,  TORONTO ,  Ontario, Canada"
"Knob Hill Junior Public School ,  TORONTO ,  Ontario, Canada"
"Leisureworld ,  TORONTO ,  Ontario, Canada"
"Leisureworld Rockliffe Long Term Care ,  TORONTO ,  Ontario, Canada"
"Lord Roberts Junior Public School ,  TORONTO ,  Ontario, Canada"
"Manhattan Park Junior Public School ,  TORONTO ,  Ontario, Canada"
"Maryvale Public School ,  TORONTO ,  Ontario, Canada"
"May Tower I ,  TORONTO ,  Ontario, Canada"
"May Tower II TSCC1411 ,  TORONTO ,  Ontario, Canada"
"McCowan Place ,  TORONTO ,  Ontario, Canada"
"McGregor Park Community Centre ,  TORONTO ,  Ontario, Canada"
"Mondeo Springs - 18 ,  TORONTO ,  Ontario, Canada"
"North Bendale Junior Public School ,  TORONTO ,  Ontario, Canada"
"Omni ,  TORONTO ,  Ontario, Canada"
"Parisienne YCC517 ,  TORONTO ,  Ontario, Canada"
"Precious Blood Catholic School ,  TORONTO ,  Ontario, Canada"
"Rainbow Village 2466 Eglinton ,  TORONTO ,  Ontario, Canada"
"Rainbow Village Apartment 2460 Eglinton Ave East ,  TORONTO ,  Ontario, Canada"
"Scarborough Fair ,  TORONTO ,  Ontario, Canada"
"St. Andrew's Presbyterian Church ,  TORONTO ,  Ontario, Canada"
"St. Andrew's Public School ,  TORONTO ,  Ontario, Canada"
"St. David's Village Apartment-Retirement Residence ,  TORONTO ,  Ontario, Canada"
"St. Giles Anglican Church ,  TORONTO ,  Ontario, Canada"
"St. Peter's Anglican Church ,  TORONTO ,  Ontario, Canada"
"St. Rose of Lima Catholic School ,  TORONTO ,  Ontario, Canada"
"Sunrise Terrace YCC405 ,  TORONTO ,  Ontario, Canada"
"TCSS 2036  (70 Town Centre ) ,  TORONTO ,  Ontario, Canada"
"TCSS 2044 ( 60 Town Centre ) ,  TORONTO ,  Ontario, Canada"
"Terrapark Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Terraview Learning Centre Aka Pharmacy ,  TORONTO ,  Ontario, Canada"
"Terraview-Willowfield Public School ,  TORONTO ,  Ontario, Canada"
"The Birches Apartment YCC211 ,  TORONTO ,  Ontario, Canada"
"The Birches Apartment YCC380 ,  TORONTO ,  Ontario, Canada"
"The Birches Apartment(s) YCC386 ,  TORONTO ,  Ontario, Canada"
"The Copenhagen YCC81 ,  TORONTO ,  Ontario, Canada"
"The Skyscape  TCSS 1948 ,  TORONTO ,  Ontario, Canada"
"The Wexford Residence ,  TORONTO ,  Ontario, Canada"
"Toronto Chinese Methodist Church ,  TORONTO ,  Ontario, Canada"
"Wexford Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Wexford Heights United Church ,  TORONTO ,  Ontario, Canada"
"Wexford Public School ,  TORONTO ,  Ontario, Canada"
"Wilmar Heights United Church ,  TORONTO ,  Ontario, Canada"
"Winston Churchill Collegiate Institute ,  TORONTO ,  Ontario, Canada"
"Agincourt District Library ,  TORONTO ,  Ontario, Canada"
"Agincourt Pentacostal Church ,  TORONTO ,  Ontario, Canada"
"Agincourt Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Beverly Glen Junior Public School ,  TORONTO ,  Ontario, Canada"
"Bridlewood Junior Public School ,  TORONTO ,  Ontario, Canada"
"Bridlewood Place Recreation Centre ,  TORONTO ,  Ontario, Canada"
"Brookmill Boulevard Junior Public School ,  TORONTO ,  Ontario, Canada"
"Epiphany of Our Lord Catholic Academy ,  TORONTO ,  Ontario, Canada"
"Fairglen Junior Public School ,  TORONTO ,  Ontario, Canada"
"Glenhurst Apartment(s) ,  TORONTO ,  Ontario, Canada"
"Good Shepherd Community Church ,  TORONTO ,  Ontario, Canada"
"Gracepoint Baptist Church ,  TORONTO ,  Ontario, Canada"
"Henry Kelsey Senior Public School ,  TORONTO ,  Ontario, Canada"
"Highland Heights Junior Public School ,  TORONTO ,  Ontario, Canada"
"Holy Spirit Catholic School ,  TORONTO ,  Ontario, Canada"
"Inglewood Heights Junior Public School ,  TORONTO ,  Ontario, Canada"
"Kennedy Public School ,  TORONTO ,  Ontario, Canada"
"L'Amoreaux Community Centre ,  TORONTO ,  Ontario, Canada"
"Lynngate Junior Public School ,  TORONTO ,  Ontario, Canada"
"Mary Ward Esl Catholic School ,  TORONTO ,  Ontario, Canada"
"Mon Sheong Court Senior Residence ,  TORONTO ,  Ontario, Canada"
"Mon Sheong Long Term Care Centre ,  TORONTO ,  Ontario, Canada"
"North Agincourt Junior Public School ,  TORONTO ,  Ontario, Canada"
"Northboro ,  TORONTO ,  Ontario, Canada"
"Royalcrest ,  TORONTO ,  Ontario, Canada"
"Scarsdale House ,  TORONTO ,  Ontario, Canada"
"Shepherd Lodge (Village) ,  TORONTO ,  Ontario, Canada"
"Shepherd Manor (Village) ,  TORONTO ,  Ontario, Canada"
"Silver Springs Public School ,  TORONTO ,  Ontario, Canada"
"Sky Garden ,  TORONTO ,  Ontario, Canada"
"Sky Park ,  TORONTO ,  Ontario, Canada"
"St. Aidan's Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Henry Catholic School ,  TORONTO ,  Ontario, Canada"
"St. Paul's l'Amoreaux Seniors' Centre ,  TORONTO ,  Ontario, Canada"
"Stephen Leacock Community Centre ,  TORONTO ,  Ontario, Canada"
"Stonehill ,  TORONTO ,  Ontario, Canada"
"Tam O'shanter Towers ,  TORONTO ,  Ontario, Canada"
"Tendercare Health Centre ,  TORONTO ,  Ontario, Canada"
"Terry Fox Public School ,  TORONTO ,  Ontario, Canada"
"The Greens at Tam O'shanter ,  TORONTO ,  Ontario, Canada"
"The Japanese Gospel Church of Toronto ,  TORONTO ,  Ontario, Canada"
"The Monterey ,  TORONTO ,  Ontario, Canada"
"Timberbank Junior Public School ,  TORONTO ,  Ontario, Canada"
"Victoria Park Avenue ,  TORONTO ,  Ontario, Canada"
"Villa Elegance ,  TORONTO ,  Ontario, Canada"
"Vradenburg Junior Public School ,  TORONTO ,  Ontario, Canada"
"Wishing Well Manor ,  TORONTO ,  Ontario, Canada"
"Woodlands on the Park ,  TORONTO ,  Ontario, Canada"
"YCC337 ,  TORONTO ,  Ontario, Canada"
"70 East Street Senior's Apartments ,  SAULT STE MARIE ,  Ontario, Canada"
"Batchewana Learning Centre ,  SAULT STE MARIE ,  Ontario, Canada"
"Campbell Place Apartment(s) ,  SAULT STE MARIE ,  Ontario, Canada"
"Cara Community ,  SAULT STE MARIE ,  Ontario, Canada"
"Collegiate Heights Retirement Home ,  SAULT STE MARIE ,  Ontario, Canada"
"Columbus Club Apartment(s) ,  SAULT STE MARIE ,  Ontario, Canada"
"Croation Hall ,  SAULT STE MARIE ,  Ontario, Canada"
"Eastview Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Extendacare Tendercare Nursing Home ,  SAULT STE MARIE ,  Ontario, Canada"
"Extendicare/Van Daele Manor ,  SAULT STE MARIE ,  Ontario, Canada"
"F. J. Davey Home ,  SAULT STE MARIE ,  Ontario, Canada"
"Finnish Rest Home #2 ,  SAULT STE MARIE ,  Ontario, Canada"
"Free Methodist Church ,  SAULT STE. MARIE ,  Ontario, Canada"
"George Leach Centre, Algoma University ,  SAULT STE MARIE ,  Ontario, Canada"
"Grand View Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Great Northern Nursing Centre ,  SAULT STE MARIE ,  Ontario, Canada"
"Great Northern Retirement Home ,  SAULT STE MARIE ,  Ontario, Canada"
"Greenwood Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"H.M. Robbins Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Harbourview Condominium(s) ,  SAULT STE MARIE ,  Ontario, Canada"
"Holy Angels Learning Centre ,  SAULT STE MARIE ,  Ontario, Canada"
"Holy Family School ,  SAULT STE MARIE ,  Ontario, Canada"
"Isabel Fletcher Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"John Rhodes Community Centre ,  SAULT STE MARIE ,  Ontario, Canada"
"Kiwedin Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Korah Collegiate ,  SAULT STE MARIE ,  Ontario, Canada"
"Marconi Hall ,  SAULT STE MARIE ,  Ontario, Canada"
"Mauno Kaihla Koti/ St. Gregory's ,  SAULT STE MARIE ,  Ontario, Canada"
"Northern Heights Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Ontario Finnish Resthome #1 ,  SAULT STE MARIE ,  Ontario, Canada"
"Our Lady of Lourdes Catholic School ,  SAULT STE MARIE ,  Ontario, Canada"
"Parkland Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Pathways Retirement Residence ,  SAULT STE MARIE ,  Ontario, Canada"
"Pinewood Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Queen Elizabeth Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"R. M. Moore Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Riuniti Hall ,  SAULT STE MARIE ,  Ontario, Canada"
"River View Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Rosedale Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Sah - Queen / St. Georges Seniors ,  SAULT STE MARIE ,  Ontario, Canada"
"Sah Grt Northern / Villa Santa Maria ,  SAULT STE MARIE ,  Ontario, Canada"
"Seniors Drop-In Centre ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Andrew's United Church ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Bernadette School ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Bernards Condominium(s) ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Gerard Majella Church ,  SAULT STE. MARIE ,  Ontario, Canada"
"St. John Catholic School ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Mary`S Elementary School ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Marys Ukranian Catholic Church ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Paul Catholic School ,  SAULT STE MARIE ,  Ontario, Canada"
"St. Theresa Catholic School ,  SAULT STE MARIE ,  Ontario, Canada"
"Station 49 Seniors Residence ,  SAULT STE MARIE ,  Ontario, Canada"
"Tarentorus Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Wm. Merrifield V.C. Public School ,  SAULT STE MARIE ,  Ontario, Canada"
"Zion Lutheran Church ,  SAULT STE MARIE ,  Ontario, Canada"
"1285 Sandy Lane-Marina Park Place ,  SARNIA ,  Ontario, Canada"
"1295 Sandy Lane -Marina Park Place ,  SARNIA ,  Ontario, Canada"
"Aamjiwnaang Health Centre ,  SARNIA ,  Ontario, Canada"
"Aberarder Central Elementary School ,  CAMLACHIE ,  Ontario, Canada"
"Afton Park Place ,  SARNIA ,  Ontario, Canada"
"Albany Community Living Centre ,  PETROLIA ,  Ontario, Canada"
"Alexander McKenzie Public Secondary School ,  SARNIA ,  Ontario, Canada"
"Bluewater Baptist Church ,  SARNIA ,  Ontario, Canada"
"Bluewater Country - Adult Leisure Living ,  SARNIA ,  Ontario, Canada"
"Bluewater Health - Cee Site ,  PETROLIA ,  Ontario, Canada"
"Bluewater Health - Mitton Street Site ,  SARNIA ,  Ontario, Canada"
"Bluewater Health - Norman Street Site ,  SARNIA ,  Ontario, Canada"
"Brigden Public Elementary School ,  BRIGDEN ,  Ontario, Canada"
"Brights Grove Public Elementary School ,  BRIGHT'S GROVE ,  Ontario, Canada"
"Carpenters' Local 1256 ,  SARNIA ,  Ontario, Canada"
"Cathcart Boulevard Public Elementary School ,  SARNIA ,  Ontario, Canada"
"Centennial Park Place ,  SARNIA ,  Ontario, Canada"
"Christ Lutheran Church ,  SARNIA ,  Ontario, Canada"
"Church of Christ ,  SARNIA ,  Ontario, Canada"
"Colonel Cameron Public Elementary School ,  CORUNNA ,  Ontario, Canada"
"Dunlop United Church ,  SARNIA ,  Ontario, Canada"
"Fairway Towers ,  SARNIA ,  Ontario, Canada"
"Fairwinds Lodge ,  SARNIA ,  Ontario, Canada"
"Fiddick's Nursing Home ,  PETROLIA ,  Ontario, Canada"
"Hanna Memorial Public School ,  SARNIA ,  Ontario, Canada"
"High Park Public School ,  SARNIA ,  Ontario, Canada"
"Holy Trinity Catholic Elementary School ,  SARNIA ,  Ontario, Canada"
"John Knox Christian Elementary School ,  WYOMING ,  Ontario, Canada"
"Kenwick Place ,  SARNIA ,  Ontario, Canada"
"Kinsmen Community Centre ,  SARNIA ,  Ontario, Canada"
"Lakeroad Public Elementary School ,  SARNIA ,  Ontario, Canada"
"Lambton Central Collegiate Vocational Institute ,  PETROLIA ,  Ontario, Canada"
"Lambton Meadowview Villa ,  PETROLIA ,  Ontario, Canada"
"Landmark Village ,  SARNIA ,  Ontario, Canada"
"Lansdowne Public School ,  SARNIA ,  Ontario, Canada"
"Lighthouse Community Church ,  SARNIA ,  Ontario, Canada"
"Marquis East ,  SARNIA ,  Ontario, Canada"
"Marshall Gowland Manor ,  SARNIA ,  Ontario, Canada"
"Northern Collegiate Secondary School ,  SARNIA ,  Ontario, Canada"
"Northgate Manor ,  SARNIA ,  Ontario, Canada"
"Northgate Towers ,  SARNIA ,  Ontario, Canada"
"Oil Springs Fire Hall ,  OIL SPRINGS ,  Ontario, Canada"
"P. E. McGibbon Public Elementary School ,  SARNIA ,  Ontario, Canada"
"Point Edward Community Centre ,  POINT EDWARD ,  Ontario, Canada"
"Portuguese Canadian Club ,  SARNIA ,  Ontario, Canada"
"Queen Elizabeth II Public Elementary School ,  PETROLIA ,  Ontario, Canada"
"Residence on the St. Clair ,  SARNIA ,  Ontario, Canada"
"Rosewood Manor ,  SARNIA ,  Ontario, Canada"
"Royal Canadian Legion Branch 447 ,  CORUNNA ,  Ontario, Canada"
"Royal Oak Towers ,  SARNIA ,  Ontario, Canada"
