"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARK","FULSOM","HEFFERNAN","LUNDY","TAYLOR","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"042","LEEDS--GRENVILLE","714","U","PRESCOTT","42","0","11","0","0","1","3","0","57","124","Wellington House"
"042","LEEDS--GRENVILLE","715","U","PRESCOTT","..........................NO POLL HELD..........................","","","","","","","","","",""
"042","LEEDS--GRENVILLE","716","U","KEMPTVILLE","34","2","20","3","0","0","0","0","59","129","Bayfield Manor"
"042","LEEDS--GRENVILLE","717","U","NORTH GRENVILLE","27","0","6","3","0","1","0","0","37","72","Kemptville District Hospital"
"042","LEEDS--GRENVILLE","ADV001","U","BROCKVILLE","1021","4","227","166","46","2","0","0","1466","0","Returning Office / Bureau du directeur du scrutin"
"042","LEEDS--GRENVILLE","ADV002","U","BROCKVILLE","352","2","81","54","9","7","1","0","506","0","Special Ballot Voting / Vote par bulletin spécial"
"042","LEEDS--GRENVILLE","ADV003","U","KEMPTVILLE","456","0","106","77","16","0","0","0","655","0","Satellite Office"
"042","LEEDS--GRENVILLE","ADV004","U","WESTPORT","105","0","24","12","1","0","0","0","142","0","North Crosby Community Centre"
"042","LEEDS--GRENVILLE","ADV005","U","LOMBARDY","357","1","81","53","15","0","0","0","507","0","South Elmsley Mun Complex"
"042","LEEDS--GRENVILLE","ADV006","U","GANANOQUE","163","0","32","20","7","0","0","0","222","0","The Cornerstone,Calvary Pentecostal"
"042","LEEDS--GRENVILLE","ADV007","U","GANANOQUE","348","1","95","67","16","1","0","1","529","0","Christ Anglican Church Hall"
"042","LEEDS--GRENVILLE","ADV008","U","ATHENS","401","0","59","59","18","1","0","0","538","0","Athens Fire Hall"
"042","LEEDS--GRENVILLE","ADV009","U","BROCKVILLE","515","2","90","62","5","2","0","0","676","0","Brockville Memorial Civic Centre"
"042","LEEDS--GRENVILLE","ADV010","U","LYN","188","0","21","36","9","0","0","0","254","0","Elizabethtown-Kitley Fire Station 1"
"042","LEEDS--GRENVILLE","ADV011","U","PRESCOTT","314","6","44","47","10","0","0","0","421","0","St. Andrew's Presbyterian Church Hall"
"042","LEEDS--GRENVILLE","ADV012","U","SPENCERVILLE","275","3","35","44","4","0","0","0","361","0","Drummond Building"
"042","LEEDS--GRENVILLE","ADV013","U","KEMPTVILLE","454","1","110","50","25","1","0","0","641","0","University Of Guelph, W.B. George Centre"
"TOTALS:","","","","","24314","111","6663","5822","1319","94","43","18","38384","75797",""
